ZBAA	116.5849991	40.08010101
ZBTJ	117.3460007	39.12440109
ZBSJ	114.6969986	38.28070068
ZBYN	112.6279984	37.74689865
ZBHH	111.823997	40.851398
ZBCD	118.073889	41.1225
ZBDH	119.058889	39.666389
ZBZJ	114.935	40.7383333
ZBHD	114.4255556	36.52583333
ZBXZ	112.969173	38.597456
ZBYC	111.0313889	35.116391
ZBOW	109.9970016	40.56000137
ZBDS	109.8613889	39.49
ZBMZ	117.33	49.566667
ZBLA	119.8249969	49.20500183
ZBTL	122.199997	43.556702
ZYHB	126.25	45.62340164
ZYMD	129.5690002	44.52410126
ZYCC	125.6849976	43.99620056
ZYTX	123.4830017	41.63980103
ZYTL	121.5390015	38.96569824
ZSJN	117.2160034	36.85720062
ZSQD	120.3740005	36.26610184
ZSYT	121.3720016	37.40169907
ZSNJ	118.8619995	31.74200058
ZSLG	118.873611	34.571667
ZSSH	119.125	33.79083333
ZSYN	120.203056	33.425833
ZSNT	120.9802777	32.06972222
ZSOF	117.2979965	31.78000069
ZSSS	121.3359985	31.19790077
ZSPD	121.8050003	31.14340019
ZSHC	120.4339981	30.22949982
ZSNB	121.461998	29.82670021
ZSZS	122.3619995	29.93420029
ZSWZ	120.851997	27.912201
ZSCN	115.9000015	28.86499977
ZSGZ	114.778889	25.853333
ZSWY	118.000999	27.7019
ZSFZ	119.663002	25.93510056
ZSAM	118.1279984	24.54400063
ZSQZ	118.589996	24.7964
ZHCC	113.8410034	34.5196991
ZHLY	112.3880005	34.74110031
ZHSY	110.907778	32.591667
ZHHH	114.208	30.7838
ZHYC	111.479988	30.55655
ZGHA	113.2200012	28.18919945
ZGCD	111.6399994	28.91889954
ZGGG	113.2990036	23.39240074
ZGSZ	113.810997	22.63929939
ZGSD	113.375999	22.006399
ZGOW	116.5033	23.552
ZGZJ	110.358002	21.214399
ZGNN	108.1719971	22.60829926
ZGKL	110.0390015	25.21809959
ZGZH	109.390999	24.2075
ZGBH	109.293999	21.5394
ZJHK	110.4589996	19.93490028
ZJSY	109.4120026	18.30290031
ZPPP	102.9291667	25.1019444
ZPLJ	100.2460022	26.68000031
ZUUU	103.9469986	30.57850075
ZUMY	104.7409973	31.42810059
ZUXC	102.1839981	27.9890995
ZUNC	106.1626	30.79545
ZULZ	105.4688888	29.03055555
ZUCK	106.6419983	29.71920013
ZUWX	108.433	30.8017
ZUGY	106.8010025	26.53849983
ZUMT	106.435	27.96333333
ZULS	90.91190338	29.29780006
ZLXY	108.751999	34.447102
ZLHZ	107.206014	33.134136
ZLYL	109.590927	38.35971
ZLLL	103.6200027	36.51520157
ZLJQ	98.3414	39.856899
ZLDH	94.80919647	40.16109848
ZLIC	106.009003	38.481899
ZLGY	106.2169444	36.07888889
ZLZW	105.154454	37.573125
ZLXN	102.042999	36.5275
ZWWW	87.47419739	43.90710068
ZWKM	84.9527	45.46655
ZWTL	89.09861111	43.03083333
ZWKL	86.12889862	41.69779968
ZWHM	93.669197	42.8414
ZWYN	81.330299	43.955799
ZWSC	77.075192	38.281055
ZWKC	82.872917	41.677856
VHHH	113.9150009	22.30890083
VMMC	113.592003	22.149599
RCTP	121.233002	25.0777
RCSS	121.552002	25.06940079
RCKH	120.3499985	22.57710075
RKSI	126.4509964	37.46910095
RJBB	135.2440033	34.4272995
RJAA	140.3860016	35.76470184
